Registered Substances
Export date: 15/02/2019 08:37:58
Last updated 13/02/2019. Database contains 21928 unique substances and contains information from 92032 dossiers.

"substanceName"	""
"ecNumber"	""
"casNumber"	""
"otherNumber"	""
"otherNumericalIdentifiers"	

"registrationType"	"FULL"
"submissionType"	
"country"	""
"firstPublishedDateMin"	
"firstPublishedDateMax"	
"lastUpdateDateMin"	
"lastUpdateDateMax"	
"registrantName"	""
"registrationNumber"	""
"tonnageBandType"	"ALL"
"tonnageBandMin"	"0"
"tonnageBandMax"	"0"
"substancesHasNanoform"	"-1"
"pbtAssesmentOutcome"	
"csaPerformed"	""
"lifecycles"	

"uses"	

"usesOperatorIsAnd"	"true"
"uses"	



"Name"	"EC / List Number"	"Cas Number"	"Registration Type"	"Submission Type"	"Total tonnage Band"	"Factsheet URL"	"Substance Information Page"	
"(1R)-2-{[2-(4-aminophenyl)ethyl]amino}-1-phenylethanol hydrochloride"	"700-425-8"	"521284-22-0"	"Full"	"Joint"	"Tonnage Data Confidential"	"https://echa.europa.eu/de/registration-dossier/-/registered-dossier/17195"	"https://echa.europa.eu/de/substance-information/-/substanceinfo/100.148.985"	
"(1R)-6,6-dimethylbicyclo[3.1.1]hept-2-en-2-ethanol"	"252-744-2"	"35836-73-8"	"Full"	"Joint"	"10 - 100 tonnes per annum"	"https://echa.europa.eu/de/registration-dossier/-/registered-dossier/5969"	"https://echa.europa.eu/de/substance-information/-/substanceinfo/100.047.935"	
"(1r,1's,4r,4'r)-4-(4-methylphenyl)-4'-propyl-1,1'-bi(cyclohexane)"	"617-606-1"	"84656-75-7"	"Full"	"Joint"	"0 - 10 tonnes per annum"	"https://echa.europa.eu/de/registration-dossier/-/registered-dossier/21867"	"https://echa.europa.eu/de/substance-information/-/substanceinfo/100.117.812"	
"(1r,1's,4r,4'r)-4-ethenyl-4'-propyl-1,1'-bi(cyclohexane)"	"601-409-2"	"116020-44-1"	"Full"	"Individual"	"10 - 100 tonnes per annum"	"https://echa.europa.eu/de/registration-dossier/-/registered-dossier/7219"	"https://echa.europa.eu/de/substance-information/-/substanceinfo/100.129.286"	
"(1R,12R)-7-bromo-9-methoxy-11-oxa-4-azatetracyclo[8.6.1.0^{1,12}.0^{6,17}]heptadeca-6(17),7,9,15-tetraen-14-one"	"605-847-5"	"179108-06-6"	"Full"	"Joint"	"0 - 10 tonnes per annum"	"https://echa.europa.eu/de/registration-dossier/-/registered-dossier/22554"	"https://echa.europa.eu/de/substance-information/-/substanceinfo/100.123.378"	
"(1R,2R)-1,3-Dihydroxy-1-(4-nitrophenyl)propyl-2-ammonium (1R, 5S)-5-(dimethylphenylsilyl)-2-(hydroxymethyl)cyclopent-2-ene-1-carboxylate"	"445-910-2"	"1388152-30-4"	"Full"	"Joint"	"0 - 10 tonnes per annum"	"https://echa.europa.eu/de/registration-dossier/-/registered-dossier/5606"	"https://echa.europa.eu/de/substance-information/-/substanceinfo/100.104.048"	
"(1R,2R,3S,6R,7S,8S)-tetracyclo[6.2.1.1^{3,6}.0^{2,7}]dodec-4-ene"	"700-678-4"	"1076-12-6"	"Full"	"Individual"	"10 - 100 tonnes per annum"	"https://echa.europa.eu/de/registration-dossier/-/registered-dossier/18114"	"https://echa.europa.eu/de/substance-information/-/substanceinfo/100.224.921"	
"(1R,2R,4S)- 1,3,3-trimethylbicyclo(2.2.1)heptan-2-ol"	"606-948-7"	"2217-02-9"	"Full"	"Joint"	"10 - 100 tonnes per annum"	"https://echa.europa.eu/de/registration-dossier/-/registered-dossier/24254"	"https://echa.europa.eu/de/substance-information/-/substanceinfo/100.133.592"	
"(1R,2R,4S)-1,3,3-trimethylbicyclo[2.2.1]heptan-2-yl acetate"	"807-751-0"	"4057-31-2"	"Full"	"Joint"	"10 - 100 tonnes per annum"	"https://echa.europa.eu/de/registration-dossier/-/registered-dossier/11668"	"https://echa.europa.eu/de/substance-information/-/substanceinfo/100.235.414"	
"(1R,2S,2'S,4R)-1,7,7-Trimethylbicyclo (2.2.1)heptane-2-spiro-4'-(2'-isopropyl-1',3'-dioxane)"	"443-460-1"	"188199-50-0"	"Full"	"Individual"	"1+ tonnes per annum"	"https://echa.europa.eu/de/registration-dossier/-/registered-dossier/9448"	"https://echa.europa.eu/de/substance-information/-/substanceinfo/100.103.895"	
"(1R,2S,5R)-2-isopropyl-N-(4-methoxyphenyl)-5-methylcyclohexanecarboxamide"	"700-232-9"	"68489-09-8"	"Full"	"Joint"	"0 - 10 tonnes per annum"	"https://echa.europa.eu/de/registration-dossier/-/registered-dossier/17595"	"https://echa.europa.eu/de/substance-information/-/substanceinfo/100.148.889"	
"(1R,2S,5R)-5-methyl-2-(propan-2-yl)-N-[2-(pyridin-2-yl)ethyl]cyclohexanecarboxamide"	"700-097-6"	"847565-09-7"	"Full"	"Individual"	"1 - 10 tonnes per annum"	"https://echa.europa.eu/de/registration-dossier/-/registered-dossier/2631"	"https://echa.europa.eu/de/substance-information/-/substanceinfo/100.117.781"	
"(1R,2S,5R)-5-methyl-2-(propan-2-yl)cyclohexyl (ethylcarbamoyl)formate"	"700-185-4"	"1122460-01-8"	"Full"	"Joint"	"0 - 10 tonnes per annum"	"https://echa.europa.eu/de/registration-dossier/-/registered-dossier/10101"	"https://echa.europa.eu/de/substance-information/-/substanceinfo/100.224.894"	
"(1R,2S,8S,10S,11S,13R,14R,15S,17S)-1,8-difluoro- 14,17dihydroxy-2,13,15-trimethyl-5-oxotetracyclo[8.7.0.0^{2,7}.0^{11,15}]heptadeca-3,6-diene-14-carbothioic S-acid"	"617-081-9"	"80473-92-3"	"Full"	"Joint"	"0 - 10 tonnes per annum"	"https://echa.europa.eu/de/registration-dossier/-/registered-dossier/18924"	"https://echa.europa.eu/de/substance-information/-/substanceinfo/100.122.674"	
"(1R,3S,7R,8R,10R,13R)-5,5,7,9,9,13-hexamethyl-4,6-dioxatetracyclo[6.5.1.01,10.03,7]tetradecane"	"427-580-1"	"2135337-60-7; 211299-54-6"	"Full"	"Joint"	"10+ tonnes per annum"	"https://echa.europa.eu/de/registration-dossier/-/registered-dossier/16235"	"https://echa.europa.eu/de/substance-information/-/substanceinfo/100.102.600"	
"(1r,4r)-4-(2,3-difluoro-4-propoxyphenyl)-4'-propyl-1,1'-bi(cyclohexane)"	"610-336-5"	"473257-14-6"	"Full"	"Joint"	"0 - 10 tonnes per annum"	"https://echa.europa.eu/de/registration-dossier/-/registered-dossier/21362"	"https://echa.europa.eu/de/substance-information/-/substanceinfo/100.127.590"	
"(1r,4r)-4-tert-butylcyclohexan-1-ol"	"700-127-8"	"21862-63-5"	"Full"	"Joint"	"0 - 10 tonnes per annum"	"https://echa.europa.eu/de/registration-dossier/-/registered-dossier/10189"	"https://echa.europa.eu/de/substance-information/-/substanceinfo/100.148.946"	
"(1R,4R,6S,7Z,15R,17R)-17-({7-methoxy-8-methyl-2-[4-(propan-2-yl)-1,3-thiazol-2-yl]quinolin-4-yl}oxy)-13-methyl-2,14-dioxo-3,13-diazatricyclo[13.3.0.0^{4,6}]octadec-7-ene-4-carboxylic acid"	"618-844-9"	"923604-58-4"	"Full"	"Joint"	"0 - 10 tonnes per annum"	"https://echa.europa.eu/de/registration-dossier/-/registered-dossier/20248"	"https://echa.europa.eu/de/substance-information/-/substanceinfo/100.115.870"	
"(1R,5R)-2,6,6-trimethylbicyclo[3.1.1]hept-2-ene"	"232-087-8"	"7785-70-8"	"Full"	"Joint"	"0 - 10 tonnes per annum"	"https://echa.europa.eu/de/registration-dossier/-/registered-dossier/9984"	"https://echa.europa.eu/de/substance-information/-/substanceinfo/100.029.170"	
"(1R,5S)-2-(6,6-dimethylbicyclo[3.1.1]hept-2-en-2-yl) ethyl acetate"	"800-940-9"	"35836-72-7"	"Full"	"Joint"	"100 - 1000 tonnes per annum"	"https://echa.europa.eu/de/registration-dossier/-/registered-dossier/5563"	"https://echa.europa.eu/de/substance-information/-/substanceinfo/100.227.484"	
"(1S)-1,5-anhydro-2,3,4,6-tetrakis-O-(2,2-dimethylpropanoyl)-1-(3-{[5-(4-fluorophenyl)-2-thienyl]methyl}-4-methylphenyl)-D-glucitol"	"695-878-0"	"1283129-18-9"	"Full"	"Joint"	"10 - 100 tonnes per annum"	"https://echa.europa.eu/de/registration-dossier/-/registered-dossier/25964"	"https://echa.europa.eu/de/substance-information/-/substanceinfo/100.224.664"	
"(1S)-1-(3-methoxyphenyl)-N-methylethanamine hydrobromide (1:1)"	"940-296-7"	"1688686-16-9"	"Full"	"Joint"	"0 - 10 tonnes per annum"	"https://echa.europa.eu/de/registration-dossier/-/registered-dossier/10575"	"https://echa.europa.eu/de/substance-information/-/substanceinfo/100.231.818"	
"(1S)-1-[3-[(1E)-2-(7-chloroquinolin-2-yl)ethenyl]phenyl]-3-[2-(2-hydroxypropan-2-yl)phenyl]propanol"	"608-251-3"	"287930-77-2"	"Full"	"Individual"	"10 - 100 tonnes per annum"	"https://echa.europa.eu/de/registration-dossier/-/registered-dossier/16921"	"https://echa.europa.eu/de/substance-information/-/substanceinfo/100.124.059"	
"(1S)-2,3,4,6-tetra-O-acetyl-1,5-anhydro-1-[4-chloro-3-(4-ethoxybenzyl)phenyl]-D-glucitol"	"930-010-9"	"461432-25-7"	"Full"	"Joint"	"10 - 100 tonnes per annum"	"https://echa.europa.eu/de/registration-dossier/-/registered-dossier/5228"	"https://echa.europa.eu/de/substance-information/-/substanceinfo/100.116.056"	
"(1S)-2-(benzylamino)-1-[(2R)-6-fluoro-3,4-dihydro-2H-chromen-2-yl]ethanol"	"603-316-2"	"129050-27-7"	"Full"	"Joint"	"0 - 10 tonnes per annum"	"https://echa.europa.eu/de/registration-dossier/-/registered-dossier/22232"	"https://echa.europa.eu/de/substance-information/-/substanceinfo/100.111.917"	
"(1S)-3,7,7-trimethylbicyclo[4.1.0]hept-3-ene"	"207-856-6"	"498-15-7"	"Full"	"Joint"	"1000 - 10000 tonnes per annum"	"https://echa.europa.eu/de/registration-dossier/-/registered-dossier/24165"	"https://echa.europa.eu/de/substance-information/-/substanceinfo/100.007.143"	
